key,id,title,active,ab,type,channels,category,first_send_date,last_send_date,mobile_push_sent,mobile_push_ios_sent,mobile_push_android_sent,mobile_push_opened,mobile_push_ios_opened,mobile_push_android_opened,mobile_push_open_rate,mobile_push_ios_open_rate,mobile_push_android_open_rate,web_push_sent,web_push_delivered,web_push_opened,web_push_open_rate,inapp_sent,inapp_ios_sent,inapp_android_sent,inapp_delivered,inapp_ios_delivered,inapp_android_delivered,inapp_opened,inapp_ios_opened,inapp_android_opened,inapp_open_rate,inapp_ios_open_rate,inapp_android_open_rate,inbox_sent,inbox_delivered,inbox_opened,inbox_open_rate,inbox_clicked,inbox_click_rate,email_sent,email_failed,email_delivered,email_unsubscribed,email_complained,email_opened,email_clicked,email_open_rate,email_click_rate,sms_sent,sms_delivered,sms_clicked,sms_click_rate,sms_failed,sms_opened,sms_open_rate,rcs_sent,rcs_delivered,rcs_clicked,rcs_click_rate,rcs_failed,rcs_opened,rcs_open_rate,facebook_sent,facebook_delivered,facebook_opened,facebook_open_rate,whatsapp_sent,whatsapp_delivered,whatsapp_opened,whatsapp_open_rate,inweb_sent,inweb_delivered,inweb_opened,inweb_open_rate,app_opens_direct,actions_sent_unique,actions_converted_unique,actions_conversion,goals,goals_value,description,db_sort_index,sms_unsubscribed
23,118050442,VIP:CashBackForPlayerEmailSms,1,0,"API Triggered","Email, SMS",,"2025-01-02 10:00","2026-05-07 01:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4042,23,4019,20,0,2164,455,53.84,11.32,3918,3175,0,0,741,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (28 May 2024 till now)",23,0
24,120054725,Retention:OneMonthNoDepReactivationNinthDaySMSReminder,1,0,"API Triggered",SMS,,"2025-01-02 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,504,0,0,106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (11 Jun 2024 till now)",24,0
25,120054999,Retention:OneMonthNoDepReactivationSeventhDayMailReminder,1,0,"API Triggered",Email,,"2025-01-01 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,9,551,7,0,147,67,26.68,12.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (11 Jun 2024 till now)",25,
26,120148906,VIP:21DaysCashBonusEmailSms,1,0,"API Triggered","Email, SMS",,"2025-04-29 14:00","2026-03-28 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,7,0,0,5,3,71.43,42.86,8,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (12 Jun 2024 till now)",26,0
27,120236635,RaivisTestCampaign,1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (17 Jun 2024 till now)",27,0
28,120397554,Retention:TwoMonthNoLoginReactivation25EURBonusFifthDaySMS,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (26 Jun 2024 till now)",28,0
29,120495224,Retention:PotentialVIP-Email,1,0,"API Triggered",Email,,"2025-01-02 07:00","2026-05-13 10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,4,569,4,0,228,97,40.07,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (01 Jul 2024 till now)",29,
30,120495230,Retention:PotentialVIP-SMS1,1,0,"API Triggered",SMS,,"2025-01-06 05:00","2026-05-12 11:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,84,0,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (01 Jul 2024 till now)",30,0
31,120495233,Retention:PotentialVIP-SMS2,1,0,"API Triggered",SMS,,"2025-01-03 07:00","2026-05-12 11:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,49,0,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (01 Jul 2024 till now)",31,0
32,120495234,Retention:PotentialVIP-SMS3,1,0,"API Triggered",SMS,,"2025-01-03 07:00","2026-05-12 11:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,52,0,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (01 Jul 2024 till now)",32,0
33,120641654,Retention:AffRetentionCheck-FirstAttempt,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (09 Jul 2024 till now)",33,0
34,120641656,Retention:AffRetentionCheck-ThirdAttempt,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (09 Jul 2024 till now)",34,0
35,120641769,Retention:AffRetentionCheck-SecondAttempt,1,0,"API Triggered",Email,,"2025-03-12 10:00","2025-03-25 09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,5,126,0,0,24,19,19.05,15.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (09 Jul 2024 till now)",35,
36,120678660,Retention:TwoMonthNoLoginReactivation25EURBonusSixthDayEmail,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (11 Jul 2024 till now)",36,
37,120681425,BotTestCampaign,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (11 Jul 2024 till now)",37,
38,120700105,Retention:TwoMonthNoLoginReactivation25EURBonusNinthDaySMS,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (12 Jul 2024 till now)",38,0
39,120790498,Retention:OneMonthNoDepReactivationFinalEmail,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (17 Jul 2024 till now)",39,
40,120935192,Retention:BirthdaySMS2day,1,0,"API Triggered",SMS,,"2025-01-01 10:00","2026-05-13 09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8662,6807,0,0,1749,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (25 Jul 2024 till now)",40,0
41,120935230,Retention:BirthdayFirstDayCash,1,0,"API Triggered",Email,,"2025-01-01 10:00","2026-05-13 09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560,59,3501,13,0,1438,938,41.07,26.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (25 Jul 2024 till now)",41,
42,120935249,Retention:BirthdayFirstDayFreeSpins,1,0,"API Triggered",Email,,"2025-01-01 10:00","2026-05-13 09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7690,185,7505,13,1,2627,1695,35,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (25 Jul 2024 till now)",42,
43,120935334,Retention:BirthdayFirstDayDepositBonus,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (25 Jul 2024 till now)",43,
44,121022405,VIP:TVIPWelcomeCashBonuses,1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (30 Jul 2024 till now)",44,0
45,121040457,"2.1 VIP:TVIPReminderAboutNextBonus",1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (31 Jul 2024 till now)",45,0
46,121139037,"2.2 VIP:TVIPReminderAboutSTILLAvailableBonus",1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (06 Aug 2024 till now)",46,0
47,121157530," Retention:TwoMonthLoginReactivationBonusEighthDayEmail",1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (07 Aug 2024 till now)",47,
48,121579981,Retention:TwoMonthLoginReactivationBonusNoDepEleventhDaySMS,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (02 Sep 2024 till now)",48,0
49,121616031,ArturTestCampaign,1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (04 Sep 2024 till now)",49,0
50,121626522,Support:WelcomeBackBonusCase,1,0,"API Triggered",Email,,"2025-01-02 05:00","2026-05-12 06:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,1,474,7,0,234,149,49.37,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (11 Sep 2024 till now)",50,
51,121628416,Support:WelcomeBackBalanceCase,1,0,"API Triggered",Email,,"2025-01-02 05:00","2026-05-09 04:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,3,246,2,0,122,66,49.59,26.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (09 Sep 2024 till now)",51,
52,121709177,SMS50SpinsSMM,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (10 Sep 2024 till now)",52,0
53,121724153,NewSMMsendoutFreeSpins,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (11 Sep 2024 till now)",53,0
54,121739505,Retention:TwoMonthNoLoginReactivation25EURBonusEleventhDayEmail,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (12 Sep 2024 till now)",54,
55,121739550,Retention:TwoMonthNoLoginReactivationStandartBonusthFourteenthDayEmail,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (12 Sep 2024 till now)",55,
56,121753661,VIP:DepositBonusForPlayer,1,0,"API Triggered","Email, SMS",,"2025-10-14 10:00","2025-10-17 08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,0,9,0,69.23,0,13,11,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (13 Sep 2024 till now)",56,0
57,121795758,Retention:BonusSMS,1,0,"API Triggered",SMS,,"2025-01-20 14:00","2026-05-08 07:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (16 Sep 2024 till now)",57,0
58,121954390,Retention:SixMonthsNoActivitySMS,1,0,"API Triggered",SMS,,"2025-01-01 16:00","2026-05-07 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,133,0,0,62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (26 Sep 2024 till now)",58,0
59,121955982,Retention:SixMonthsNoActivityEmail,1,0,"API Triggered",Email,,"2025-01-01 16:00","2026-05-06 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,5,258,1,0,108,70,41.86,27.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (26 Sep 2024 till now)",59,
60,122365039,Retention:SixMonthsNoActivityCashBonusSMS5thDay,1,0,"API Triggered",SMS,,"2025-01-04 16:00","2026-05-10 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,110,0,0,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (22 Oct 2024 till now)",60,0
61,122372184,Retention:SixMonthsNoActivityNoDepositEmail4thday,1,0,"API Triggered",Email,,"2025-01-02 16:00","2026-05-09 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,2,119,1,0,89,25,74.79,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (22 Oct 2024 till now)",61,
62,122463169,Retention:SixMonthsNoActivityNoDepositSMS6thday,1,0,"API Triggered",SMS,,"2025-01-01 16:00","2026-05-11 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,64,0,0,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (28 Oct 2024 till now)",62,0
63,122463432,Retention:SendOutTrustpilot,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (28 Oct 2024 till now)",63,
64,122492685,TIkTokPolDep,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (30 Oct 2024 till now)",64,
65,122503533,TIkTokPolNoDep,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (31 Oct 2024 till now)",65,
66,122932100,"Retention: FirstDepositFailedRetentionWith20EUR1stDayEmail",1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (27 Nov 2024 till now)",66,
67,122932106,"Retention: FirstDepositFailedRetentionWith20EUR2ndDaySMS",1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (27 Nov 2024 till now)",67,0
68,122932119,"Retention: FirstDepositFailedRetentionWith10EUR5thDayEmail",1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (27 Nov 2024 till now)",68,
69,122952404,"VIP:CashBonusForPlayerEmailSms (SECOND VERSION)",1,0,"API Triggered","Email, SMS",,"2025-01-04 06:00","2025-07-28 08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,1,373,3,0,262,107,70.24,28.69,227,172,0,0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (28 Nov 2024 till now)",69,0
70,123008957,sms_advent,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (02 Dec 2024 till now)",70,0
71,123015240,AlekseyTest,1,0,"API Triggered","Email, SMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (02 Dec 2024 till now)",71,0
72,123221699,Vip:TellAFriendEmail,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (15 Dec 2024 till now)",72,
73,123263600,VIP:FirstSummerBonusEmailSms,1,0,"API Triggered","Email, SMS",,"2025-07-02 07:00","2025-07-02 07:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,0,11,3,78.57,21.43,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (17 Dec 2024 till now)",73,0
74,123263606,VIP:NextSummerBonusEmailSms,1,0,"API Triggered","Email, SMS",,"2025-07-09 12:00","2025-07-23 08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,43,0,0,32,6,74.42,13.95,15,11,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (17 Dec 2024 till now)",74,0
